eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,0.53,Barbastellus barbastellus,animalia,chordata,mammalia,chiroptera,vespertilionidae,barbastella,B. barbastellus,,species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,0.242,Eptesicus serotinus,animalia,chordata,mammalia,chiroptera,vespertilionidae,eptesicus,E. serotinus,,species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,0.473,Myotis daubentonii,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. daubentonii,,species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,0.208,Myotis mystacinus,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. mystacinus,,species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,0.628,Myotis nattereri,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. nattereri,,species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,0.47,Nyctalus leisleri,animalia,chordata,mammalia,chiroptera,vespertilionidae,nyctalus,N. leisleri,,species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,0.36,Nyctalus noctula,animalia,chordata,mammalia,chiroptera,vespertilionidae,nyctalus,N. noctula,,species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,0.689,Pipistrellus nathusii,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. nathusii,,species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,0.806,Pipistrellus pipistrellus,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. pipistrellus,,species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,0.794,Pipistrellus pygmaeus,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. pygmaeus,,species,EM&PM,event
